Temperature (°C),Ice Cream Sales (units)
-4.662262677,41.84298632
-4.316559447,34.66111954
-4.213984765,39.38300088
-3.949661089,37.53984488
-3.578553716,32.28453119
-3.455711698,30.00113848
-3.108440121,22.63540128
-3.081303324,25.36502221
-2.672460827,19.22697005
-2.652286793,20.27967918
-2.651498033,13.2758285
-2.288263998,18.12399121
-2.11186969,11.21829447
-1.818937609,10.01286785
-1.66034773,12.61518115
-1.326378983,10.95773134
-1.173123268,6.68912264
-0.773330043,9.392968661
-0.673752802,5.210162615
-0.149634867,4.673642541
-0.036156498,0.328625517
-0.033895286,0.897603187
0.008607699,3.165600008
0.149244574,1.931416029
0.688780908,2.576782245
0.693598873,4.625689458
0.874905029,0.789973651
1.024180814,2.313806358
1.240711619,1.292360811
1.359812674,0.953115312
1.740000012,3.782570136
1.850551926,4.857987801
1.999310369,8.943823209
2.075100597,8.170734936
2.31859124,7.412094028
2.471945997,10.33663062
2.784836463,15.99661997
2.831760211,12.56823739
2.959932091,21.34291574
3.020874314,20.11441346
3.211366144,22.8394055
3.270044068,16.98327874
3.316072519,25.14208223
3.335932412,26.10474041
3.610778478,28.91218793
3.704057438,17.84395652
4.130867961,34.53074274
4.133533788,27.69838335
4.899031514,41.51482194
-3.9455,30.5859
